Day,Daily_ICU_occupancy_USA,Daily_ICU_occupancy_UK,Daily_ICU_occupancy_Italy,Daily_ICU_occupancy_France,Daily_ICU_occupancy_Austria,Daily_ICU_occupancy_Bulgaria
1,1299,1813,26,1,215,26
2,1792,2120,35,1,219,26
3,2174,2309,36,1,245,27
4,2456,2469,56,1,245,32
5,3087,2644,64,1,244,33
6,3487,2864,105,1,250,35
7,3937,2967,140,1,243,36
8,4513,2963,166,1,267,36
9,4928,3228,229,1,266,29
10,5500,3274,295,1,261,31
11,5811,3301,351,2,245,37
12,7079,3277,462,9,243,44
13,9978,3234,567,9,239,44
14,10337,3228,650,15,243,36
15,12450,3222,733,23,232,36
16,12693,3162,877,39,238,34
17,13285,3247,1028,45,227,40
18,13620,3176,1153,66,208,37
19,13620,3130,1328,86,204,41
20,14039,3036,1518,105,194,41
21,14646,2964,1672,129,196,37
22,15130,2867,1851,300,176,41
23,14890,2703,2060,699,169,39
24,14769,2702,2257,771,156,39
25,14385,2580,2498,1002,148,40
26,14463,2454,2655,1297,145,43
27,14941,2347,2857,1453,140,43
28,15013,2286,3009,1674,136,40
29,14744,2224,3204,2080,131,40
30,14605,2178,3396,2503,128,37
31,14415,2068,3489,2935,124,39
32,14104,2009,3612,3351,114,38
33,13812,1936,3732,3758,114,43
34,13562,1874,3856,4236,111,49
35,13535,1802,3906,4592,104,56
36,13255,1685,3981,5056,97,58
37,12845,1641,4023,5496,92,50
38,12905,1585,4035,5940,81,51
39,12720,1538,4053,6305,79,51
40,12696,1485,4068,6556,72,49
41,12628,1414,3994,6723,68,45
42,12478,1342,3977,6859,59,46
43,12136,1314,3898,6948,55,43
44,11780,1302,3792,7004,54,36
45,11496,1234,3693,7019,47,33
46,11393,1196,3605,6937,50,31
47,11148,1141,3497,6875,48,29
48,11240,1106,3381,6752,45,29
49,10990,1034,3343,6714,39,22
50,10655,1008,3260,6690,37,20
51,10484,964,3186,6599,32,21
52,10278,926,3079,6331,31,22
53,9934,886,2936,6139,28,20
54,9754,863,2812,5922,29,20
55,9598,847,2733,5733,31,18
56,9521,783,2635,5644,32,17
57,9090,751,2573,5584,32,16
58,9049,719,2471,5334,30,20
59,8733,704,2384,5127,25,9
60,8485,679,2267,4967,23,8
61,8467,652,2173,4785,27,8
62,8585,636,2102,4641,29,12
63,8547,602,2009,4598,26,12
64,8389,571,1956,4526,21,12
