Day,Daily_ICU_occupancy_Italy
1,26
2,35
3,36
4,56
5,64
6,105
7,140
8,166
9,229
10,295
11,351
12,462
13,567
14,650
15,733
16,877
17,1028
18,1153
19,1328
20,1518
21,1672
22,1851
23,2060
24,2257
25,2498
26,2655
27,2857
28,3009
29,3204
30,3396
31,3489
32,3612
33,3732
34,3856
35,3906
36,3981
37,4023
38,4035
39,4053
40,4068
41,3994
42,3977
43,3898
44,3792
45,3693
46,3605
47,3497
48,3381
49,3343
50,3260
51,3186
52,3079
53,2936
54,2812
55,2733
56,2635
57,2573
58,2471
59,2384
60,2267
61,2173
62,2102
63,2009
64,1956
65,1863
66,1795
67,1694
68,1578
69,1539
70,1501
71,1479
72,1427
73,1333
74,1311
75,1168
76,1034
77,1027
78,999
79,952
80,893
81,855
82,808
83,775
84,762
85,749
86,716
87,676
88,640
89,595
90,572
91,553
92,541
93,521
94,505
95,489
96,475
97,450
98,435
99,424
100,408
101,353
102,338
103,316
104,293
105,287
106,283
107,263
108,249
109,236
110,227
111,220
112,209
113,207
114,177
115,163
116,168
117,161
118,152
119,148
120,127
121,115
122,107
123,103
124,105
125,97
126,98
127,96
128,93
129,87
130,82
131,79
132,71
133,74
134,72
135,70
136,71
137,69
138,65
139,67
140,68
141,65
142,60
143,57
144,53
145,50
146,50
147,49
148,47
149,49
150,48
151,49
152,46
153,41
154,44
155,45
156,40
157,38
158,47
159,41
160,43
161,42
162,41
163,41
164,41
165,42
166,42
167,43
168,45
169,46
170,49
171,53
172,55
173,56
174,55
175,56
176,58
177,58
178,66
179,68
180,69
181,64
182,69
183,65
184,66
185,69
186,67
187,74
188,79
189,86
190,94
191,107
192,109
193,120
194,121
195,121
196,133
197,142
198,143
199,150
200,164
201,175
202,182
203,187
204,197
205,201
206,207
207,212
208,208
209,215
210,222
211,232
212,239
213,244
214,246
215,244
216,247
217,254
218,264
219,271
220,280
221,291
222,294
223,297
224,303
225,323
226,319
227,337
228,358
229,387
230,390
231,420
232,452
233,514
234,539
235,586
236,638
237,705
238,750
239,797
240,870
241,926
242,992
243,1049
244,1128
245,1208
