Day,Daily_ICU_occupancy_USA,patients_hospitalized_USA
1,1299,325
2,1792,416
3,2174,617
4,2456,1042
5,3087,1492
6,3487,2173
7,3937,2812
8,4513,3938
9,4928,5140
10,5500,7805
11,5811,10978
12,7079,12409
13,9978,14055
14,10337,15917
15,12450,18155
16,12693,20906
17,13285,22997
18,13620,25777
19,13620,30268
20,14039,32180
21,14646,36159
22,15130,43849
23,14890,45515
24,14769,51313
25,14385,53167
26,14463,55557
27,14941,55449
28,15013,56237
29,14744,59600
30,14605,59924
31,14415,59498
32,14104,58886
33,13812,57788
34,13562,56497
35,13535,56734
36,13255,59773
37,12845,59212
38,12905,59216
39,12720,57324
40,12696,57343
41,12628,56149
42,12478,56183
43,12136,56034
44,11780,55987
45,11496,54921
46,11393,54862
47,11148,54009
48,11240,52619
49,10990,52377
50,10655,53176
51,10484,52581
52,10278,51425
53,9934,49758
54,9754,48561
55,9598,46760
56,9521,46550
57,9090,47344
58,9049,46740
59,8733,45644
60,8485,44299
61,8467,43175
62,8585,41609
63,8547,41531
64,8389,41652
65,8174,41535
66,7956,41071
67,7626,39774
68,7591,38360
69,7407,37510
70,7227,37382
71,7057,37533
72,6920,38017
73,6762,37804
74,6501,36718
75,6402,35513
76,6457,34641
77,6249,34064
78,6074,33709
79,6017,33026
80,5883,32602
81,5749,32265
82,5703,31762
83,5570,31249
84,5612,30984
85,5464,31020
86,5341,30840
87,5229,29686
88,5195,29149
89,5323,28431
90,5402,27899
91,5293,27866
92,5320,28279
93,5283,28561
94,5314,28411
95,5252,28586
96,5380,27970
97,5424,28221
98,5512,28797
99,5626,30226
100,5597,31119
101,5633,31828
102,5653,31710
103,5687,32485
104,5832,32479
105,5874,33627
106,5845,35222
107,5896,36430
108,5939,37508
109,5930,37801
110,6074,38150
111,6235,38765
112,6317,39820
113,6359,41772
114,6452,43097
115,6397,43916
116,6384,51606
117,6557,51861
118,6711,52739
119,10457,54044
120,10414,55554
121,10395,56168
122,10380,57459
123,10353,57737
124,10328,57646
125,10463,57882
126,10539,58352
127,10523,59351
128,10472,59598
129,10450,59712
130,10415,59677
131,10230,59269
132,10207,58644
133,9986,58906
134,9994,57086
135,9691,57325
136,9662,56434
137,9307,55589
138,9216,54437
139,9136,53983
140,9555,53413
141,9487,53323
142,9277,53343
143,9087,53129
144,8958,51201
145,8871,49935
146,8866,48866
147,8744,48631
148,8483,48511
149,8357,47949
150,8207,47204
151,7949,45744
152,7851,44783
153,7863,44046
154,7737,43500
155,7717,43767
156,7558,43289
157,7413,41968
158,7268,40940
159,7043,39919
160,7090,38980
161,7087,38695
162,6921,38775
163,6924,38418
164,6766,37421
165,6700,37255
166,6630,36437
167,6542,35726
168,6646,35352
169,6531,35273
170,6379,35579
171,6451,34650
172,6233,34101
173,6238,33502
174,6310,32376
175,6308,32009
176,6278,32246
177,6175,32579
178,6070,32438
179,6015,31406
180,6071,30643
181,6111,29804
182,6113,29907
183,6168,30361
184,6133,30253
185,6057,29875
186,6080,29521
187,5981,29038
188,6106,28606
189,6145,28762
190,6173,29448
191,6106,29937
192,5996,30036
193,5974,29768
194,6209,29551
195,6438,29443
196,6507,29601
197,6621,30499
198,6713,30912
199,6683,30809
200,6679,30769
201,6807,30111
202,7020,29945
203,7156,31327
204,7220,32626
205,7251,33482
206,7384,34319
207,7292,34877
208,7997,34600
209,8131,34498
210,8182,35066
211,8086,36064
212,8237,37088
213,8561,37328
214,8489,37368
215,8842,37358
216,8909,36452
217,9034,37858
218,9208,39303
219,9437,40284
220,9499,41036
221,9553,41501
222,9867,41989
223,10406,41786
224,10761,42924
225,10918,44287
226,11085,45124
227,11082,46126
228,11120,46738
229,11533,47402
230,11961,47531
231,12518,48693
232,12796,50426
233,13132,52086
234,13337,53375
235,13693,54851
236,14317,55925
237,14851,56842
238,15350,59301
239,15572,62059
240,15929,65463
241,16058,67100
242,16212,68496
243,16915,69498
244,17127,70113
245,17526,73268
,,76958
,,79410
,,80585
,,82150
,,83232
,,83779
,,85870
,,88080
,,89959
