Entity,Code,Date,Daily_ICU_occupancy
Austria,AUT,01-04-2020,215
Austria,AUT,02-04-2020,219
Austria,AUT,03-04-2020,245
Austria,AUT,04-04-2020,245
Austria,AUT,05-04-2020,244
Austria,AUT,06-04-2020,250
Austria,AUT,07-04-2020,243
Austria,AUT,08-04-2020,267
Austria,AUT,09-04-2020,266
Austria,AUT,10-04-2020,261
Austria,AUT,11-04-2020,245
Austria,AUT,12-04-2020,243
Austria,AUT,13-04-2020,239
Austria,AUT,14-04-2020,243
Austria,AUT,15-04-2020,232
Austria,AUT,16-04-2020,238
Austria,AUT,17-04-2020,227
Austria,AUT,18-04-2020,208
Austria,AUT,19-04-2020,204
Austria,AUT,20-04-2020,194
Austria,AUT,21-04-2020,196
Austria,AUT,22-04-2020,176
Austria,AUT,23-04-2020,169
Austria,AUT,24-04-2020,156
Austria,AUT,25-04-2020,148
Austria,AUT,26-04-2020,145
Austria,AUT,27-04-2020,140
Austria,AUT,28-04-2020,136
Austria,AUT,29-04-2020,131
Austria,AUT,30-04-2020,128
Austria,AUT,01-05-2020,124
Austria,AUT,02-05-2020,114
Austria,AUT,03-05-2020,114
Austria,AUT,04-05-2020,111
Austria,AUT,05-05-2020,104
Austria,AUT,06-05-2020,97
Austria,AUT,07-05-2020,92
Austria,AUT,08-05-2020,81
Austria,AUT,09-05-2020,79
Austria,AUT,10-05-2020,72
Austria,AUT,11-05-2020,68
Austria,AUT,12-05-2020,59
Austria,AUT,13-05-2020,55
Austria,AUT,14-05-2020,54
Austria,AUT,15-05-2020,47
Austria,AUT,16-05-2020,50
Austria,AUT,17-05-2020,48
Austria,AUT,18-05-2020,45
Austria,AUT,19-05-2020,39
Austria,AUT,20-05-2020,37
Austria,AUT,21-05-2020,32
Austria,AUT,22-05-2020,31
Austria,AUT,23-05-2020,28
Austria,AUT,24-05-2020,29
Austria,AUT,25-05-2020,31
Austria,AUT,26-05-2020,32
Austria,AUT,27-05-2020,32
Austria,AUT,28-05-2020,30
Austria,AUT,29-05-2020,25
Austria,AUT,30-05-2020,23
Austria,AUT,31-05-2020,27
Austria,AUT,01-06-2020,29
Austria,AUT,02-06-2020,26
Austria,AUT,03-06-2020,21
Austria,AUT,04-06-2020,22
Austria,AUT,05-06-2020,20
Austria,AUT,06-06-2020,17
Austria,AUT,07-06-2020,17
Austria,AUT,08-06-2020,17
Austria,AUT,09-06-2020,19
Austria,AUT,10-06-2020,17
Austria,AUT,11-06-2020,14
Austria,AUT,12-06-2020,9
Austria,AUT,13-06-2020,10
Austria,AUT,14-06-2020,12
Austria,AUT,15-06-2020,15
Austria,AUT,16-06-2020,12
Austria,AUT,17-06-2020,11
Austria,AUT,18-06-2020,8
Austria,AUT,19-06-2020,7
Austria,AUT,20-06-2020,8
Austria,AUT,21-06-2020,8
Austria,AUT,22-06-2020,10
Austria,AUT,23-06-2020,11
Austria,AUT,24-06-2020,11
Austria,AUT,25-06-2020,11
Austria,AUT,26-06-2020,10
Austria,AUT,27-06-2020,10
Austria,AUT,28-06-2020,9
Austria,AUT,29-06-2020,8
Austria,AUT,30-06-2020,6
Austria,AUT,01-07-2020,9
Austria,AUT,02-07-2020,7
Austria,AUT,03-07-2020,7
Austria,AUT,04-07-2020,8
Austria,AUT,05-07-2020,10
Austria,AUT,06-07-2020,11
Austria,AUT,07-07-2020,10
Austria,AUT,08-07-2020,11
Austria,AUT,09-07-2020,12
Austria,AUT,10-07-2020,9
Austria,AUT,11-07-2020,9
Austria,AUT,12-07-2020,10
Austria,AUT,13-07-2020,8
Austria,AUT,14-07-2020,9
Austria,AUT,15-07-2020,10
Austria,AUT,16-07-2020,11
Austria,AUT,17-07-2020,11
Austria,AUT,18-07-2020,11
Austria,AUT,19-07-2020,14
Austria,AUT,20-07-2020,16
Austria,AUT,21-07-2020,18
Austria,AUT,22-07-2020,18
Austria,AUT,23-07-2020,15
Austria,AUT,24-07-2020,17
Austria,AUT,25-07-2020,16
Austria,AUT,26-07-2020,15
Austria,AUT,27-07-2020,16
Austria,AUT,28-07-2020,15
Austria,AUT,29-07-2020,20
Austria,AUT,30-07-2020,18
Austria,AUT,31-07-2020,16
Austria,AUT,01-08-2020,19
Austria,AUT,02-08-2020,20
Austria,AUT,03-08-2020,21
Austria,AUT,04-08-2020,23
Austria,AUT,05-08-2020,25
Austria,AUT,06-08-2020,25
Austria,AUT,07-08-2020,25
Austria,AUT,08-08-2020,24
Austria,AUT,09-08-2020,22
Austria,AUT,10-08-2020,24
Austria,AUT,11-08-2020,25
Austria,AUT,12-08-2020,25
Austria,AUT,13-08-2020,22
Austria,AUT,14-08-2020,19
Austria,AUT,15-08-2020,21
Austria,AUT,16-08-2020,19
Austria,AUT,17-08-2020,23
Austria,AUT,18-08-2020,19
Austria,AUT,19-08-2020,20
Austria,AUT,20-08-2020,21
Austria,AUT,21-08-2020,22
Austria,AUT,22-08-2020,22
Austria,AUT,23-08-2020,23
Austria,AUT,24-08-2020,23
Austria,AUT,25-08-2020,23
Austria,AUT,26-08-2020,23
Austria,AUT,27-08-2020,24
Austria,AUT,28-08-2020,27
Austria,AUT,29-08-2020,30
Austria,AUT,30-08-2020,30
Austria,AUT,31-08-2020,31
Austria,AUT,01-09-2020,30
Austria,AUT,02-09-2020,30
Austria,AUT,03-09-2020,29
Austria,AUT,04-09-2020,28
Austria,AUT,05-09-2020,28
Austria,AUT,06-09-2020,28
Austria,AUT,07-09-2020,29
Austria,AUT,08-09-2020,28
Austria,AUT,09-09-2020,36
Austria,AUT,10-09-2020,39
Austria,AUT,11-09-2020,41
Austria,AUT,12-09-2020,42
Austria,AUT,13-09-2020,44
Austria,AUT,14-09-2020,47
Austria,AUT,15-09-2020,49
Austria,AUT,16-09-2020,54
Austria,AUT,17-09-2020,55
Austria,AUT,18-09-2020,62
Austria,AUT,19-09-2020,84
Austria,AUT,20-09-2020,68
Austria,AUT,21-09-2020,67
Austria,AUT,22-09-2020,75
Austria,AUT,23-09-2020,77
Austria,AUT,24-09-2020,78
Austria,AUT,25-09-2020,78
Austria,AUT,26-09-2020,80
Austria,AUT,27-09-2020,84
Austria,AUT,28-09-2020,88
Austria,AUT,29-09-2020,90
Austria,AUT,30-09-2020,90
Austria,AUT,01-10-2020,98
Austria,AUT,02-10-2020,100
Austria,AUT,03-10-2020,97
Austria,AUT,04-10-2020,103
Austria,AUT,05-10-2020,101
Austria,AUT,06-10-2020,101
Austria,AUT,07-10-2020,100
Austria,AUT,08-10-2020,107
Austria,AUT,09-10-2020,103
Austria,AUT,10-10-2020,99
Austria,AUT,11-10-2020,96
Austria,AUT,12-10-2020,97
Austria,AUT,13-10-2020,107
Austria,AUT,14-10-2020,112
Austria,AUT,15-10-2020,119
Austria,AUT,16-10-2020,122
Austria,AUT,17-10-2020,130
Austria,AUT,18-10-2020,135
Austria,AUT,19-10-2020,145
Austria,AUT,20-10-2020,145
Austria,AUT,21-10-2020,147
Austria,AUT,22-10-2020,161
Austria,AUT,23-10-2020,158
Austria,AUT,24-10-2020,175
Austria,AUT,25-10-2020,174
Austria,AUT,26-10-2020,188
Austria,AUT,27-10-2020,203
Austria,AUT,28-10-2020,224
Austria,AUT,29-10-2020,248
Austria,AUT,30-10-2020,263
Austria,AUT,31-10-2020,265
Austria,AUT,01-11-2020,291
Austria,AUT,02-11-2020,336
Austria,AUT,03-11-2020,366
Austria,AUT,04-11-2020,383
Austria,AUT,05-11-2020,407
Austria,AUT,06-11-2020,431
Austria,AUT,07-11-2020,432
Austria,AUT,08-11-2020,459
Austria,AUT,09-11-2020,473
Austria,AUT,10-11-2020,495
Austria,AUT,11-11-2020,536
Austria,AUT,12-11-2020,546
Austria,AUT,13-11-2020,567
Austria,AUT,14-11-2020,581
Austria,AUT,15-11-2020,599
Austria,AUT,16-11-2020,612
Austria,AUT,17-11-2020,658
Austria,AUT,18-11-2020,682
Austria,AUT,19-11-2020,683
Austria,AUT,20-11-2020,687
Austria,AUT,21-11-2020,697
Austria,AUT,22-11-2020,683
Belgium,BEL,15-03-2020,54
Belgium,BEL,16-03-2020,79
Belgium,BEL,17-03-2020,100
Belgium,BEL,18-03-2020,131
Belgium,BEL,19-03-2020,165
Belgium,BEL,20-03-2020,228
Belgium,BEL,21-03-2020,290
